Average Amount/transaction/day,Transaction_amount,Is decli0ed,Total Number of declines/day,isForeig0Tra0sactio0,isHighRiskCou0tr1,Daily_chargeback_avg_amt,6_month_avg_chbk_amt,6-month_chbk_freq,isFradule0t
100,3000,0,5,1,1,0,0,0,1
100,4300,0,5,1,1,0,0,0,1
185.5,4823,1,5,0,0,0,0,0,1
185.5,5008.5,1,8,0,0,0,0,0,1
500,26000,0,0,1,1,800,677.2,6,1
500,27000,0,0,1,1,800,677.2,6,1
262.5,11287.5,0,0,0,0,900,345.5,7,1
185.5,11130,1,20,0,0,0,0,0,1
185.5,6121.5,1,20,0,0,0,0,0,1
185.5,7049,1,20,0,0,0,0,0,1
166.788473,4836.865717,0,0,0,0,721,229,9,1
444.9970144,21804.85371,0,0,1,1,0,0,0,1
152.451565,4116.192255,0,0,1,1,865,375,8,1
36.91948763,2141.330283,0,5,1,1,0,0,0,1
806.1795426,23379.20674,0,0,0,0,816,811,5,1
257.0911668,10283.64667,0,4,1,0,0,0,0,1
601.4529708,24659.5718,0,7,0,0,0,0,0,1
222.5298151,12461.66965,0,9,1,0,0,0,0,1
231.0673178,12708.70248,0,0,0,0,986,650,8,1
675.5694754,39858.59905,0,9,1,0,0,0,0,1
242.1517429,10654.67669,0,0,1,1,0,0,0,1
804.7617661,42652.3736,0,0,0,0,953,950,8,1
432.0302518,22033.54284,0,8,1,1,0,0,0,1
356.8122632,16056.55184,0,9,1,1,0,0,0,1
456.2831178,15057.34289,0,0,1,1,0,0,0,1
780.688498,36692.35941,0,0,1,0,896,839,6,1
947.4890276,44531.9843,0,7,1,0,0,0,0,1
172.5157672,5002.957249,0,9,1,1,0,0,0,1
111.3750711,5680.128626,0,2,1,0,0,0,0,1
679.9403346,38076.65874,0,0,1,1,0,0,0,1
476.8645865,26704.41684,0,3,1,0,0,0,0,1
563.054548,23085.23647,0,2,1,0,0,0,0,1
205.8614188,11528.23945,0,0,1,0,0,0,0,1
998.3440744,26955.29001,0,0,1,1,701,585,8,1
724.0674699,43444.04819,0,0,0,0,877,814,7,1
85.54822336,3165.284264,0,0,0,0,454,230,7,1
253.6174611,9891.080983,0,2,1,1,0,0,0,1
18.66793542,784.0532876,0,0,1,0,973,469,8,1
345.2290256,13118.70297,0,0,1,0,970,758,3,1
66.77655374,2804.615257,0,5,0,0,993,954,2,1
434.5973006,13472.51632,0,7,1,1,0,0,0,1
53.18771869,2553.010497,0,6,1,0,0,0,0,1
680.8050065,33359.44532,0,8,1,0,0,0,0,1
480.7217025,17305.98129,0,7,1,1,0,0,0,1
644.2848716,19972.83102,0,0,0,0,967,226,9,1
723.1415323,22417.3875,0,5,1,0,0,0,0,1
879.4463782,40454.5334,0,8,1,0,0,0,0,1
519.6687893,22345.75794,0,4,1,0,0,0,0,1
360.1675018,20169.3801,0,0,0,0,923,542,7,1
199.1953372,11752.52489,0,7,1,0,0,0,0,1
741.7709921,37830.3206,0,0,0,0,589,499,8,1
293.785663,14395.49749,0,0,1,0,0,0,0,1
464.2802182,21356.89004,0,5,1,0,0,0,0,1
48.43831932,2664.107563,0,8,1,0,0,0,0,1
885.2821332,53116.92799,0,9,1,0,888,739,8,1
532.2414183,15435.00113,0,6,1,1,0,0,0,1
578.1520606,32376.51539,0,7,0,0,0,0,0,1
780.3223403,39016.11702,0,5,1,1,0,0,0,1
282.8443803,15556.44092,0,7,0,0,0,0,0,1
464.1466817,15780.98718,0,0,1,0,0,0,0,1
411.7532238,22234.67409,0,0,0,0,618,497,7,1
866.4786465,46789.84691,0,7,0,0,0,0,0,1
616.445728,15411.1432,0,4,1,1,381,284,5,1
837.189105,43533.83346,0,0,1,1,0,0,0,1
276.825748,8581.598188,0,0,1,0,0,0,0,1
10.66365782,458.5372863,0,8,1,1,0,0,0,1
327.2204773,16688.24434,0,9,0,0,0,0,0,1
810.4856122,20262.14031,0,5,1,1,0,0,0,1
474.0885428,16593.099,0,2,1,1,0,0,0,1
444.9309256,21801.61535,0,0,1,0,0,0,0,1
933.1631705,28928.05829,0,5,1,0,0,0,0,1
808.2022141,46067.5262,0,0,1,1,0,0,0,1
968.6067798,52304.76611,0,4,1,0,0,0,0,1
208.0480827,7489.730977,0,9,1,1,0,0,0,1
499.6241664,18985.71832,0,0,1,1,0,0,0,1
570.627572,26819.49588,0,9,0,0,0,0,0,1
681.5690311,31352.17543,0,0,1,1,0,0,0,1
248.4369944,7204.672838,0,5,1,1,0,0,0,1
539.2368026,25883.36652,0,0,1,0,964,890,6,1
580.9745696,28467.75391,0,5,1,1,0,0,0,1
336.182123,17817.65252,0,0,1,1,0,0,0,1
656.2025117,37403.54317,0,5,1,1,0,0,0,1
393.7053746,11811.16124,0,3,1,1,0,0,0,1
603.3792276,30772.34061,0,0,1,0,0,0,0,1
308.0830989,17868.81974,0,7,0,0,0,0,0,1
886.8957371,44344.78686,0,9,1,1,0,0,0,1
335.8370761,13097.64597,0,0,1,1,0,0,0,1
610.5646704,29307.10418,0,9,1,0,995,846,4,1
52.50319147,1365.082978,0,8,1,1,0,0,0,1
572.3188104,25754.34647,0,0,1,0,0,0,0,1
769.7753903,44646.97264,0,8,0,0,959,386,3,1
570.5826102,18829.22614,0,8,0,0,0,0,0,1
80.53627851,2335.552077,0,0,1,1,593,413,8,1
483.9256352,26131.9843,0,7,1,1,0,0,0,1
